"","country_code","year","income_level"
"1016","COL",2007,"LM"
"1017","COL",2008,"UM"
"1018","COL",2009,"UM"
"1019","COL",2010,"UM"
"1020","COL",2011,"UM"
"1021","COL",2012,"UM"
"1022","COL",2013,"UM"
"1023","COL",2014,"UM"
"1024","COL",2015,"UM"
"1025","COL",2016,"UM"
"1026","COL",2017,"UM"
"1027","COL",2018,"UM"
"1028","COL",2019,"UM"
"1029","COL",2020,"UM"
"1030","COL",2021,"UM"
"1031","COL",2022,"UM"
"1032","COL",2023,"UM"
"1033","COM",2000,"L"
"1034","COM",2001,"L"
"1035","COM",2002,"L"
"1036","COM",2003,"L"
"1037","COM",2004,"L"
"1038","COM",2005,"L"
"1039","COM",2006,"L"
"1040","COM",2007,"L"
"1041","COM",2008,"L"
"1042","COM",2009,"L"
"1043","COM",2010,"L"
"1044","COM",2011,"L"
"1045","COM",2012,"L"
"1046","COM",2013,"L"
"1047","COM",2014,"L"
"1048","COM",2015,"L"
"1049","COM",2016,"L"
"1050","COM",2017,"L"
"1051","COM",2018,"LM"
"1052","COM",2019,"LM"
"1053","COM",2020,"LM"
"1054","COM",2021,"LM"
"1055","COM",2022,"LM"
"1056","COM",2023,"LM"
"1057","CPV",2000,"LM"
"1058","CPV",2001,"LM"
"1059","CPV",2002,"LM"
"1060","CPV",2003,"LM"
"1061","CPV",2004,"LM"
"1062","CPV",2005,"LM"
"1063","CPV",2006,"LM"
"1064","CPV",2007,"LM"
"1065","CPV",2008,"LM"
"1066","CPV",2009,"LM"
"1067","CPV",2010,"LM"
"1068","CPV",2011,"LM"
"1069","CPV",2012,"LM"
"1070","CPV",2013,"LM"
"1071","CPV",2014,"LM"
"1072","CPV",2015,"LM"
"1073","CPV",2016,"LM"
"1074","CPV",2017,"LM"
"1075","CPV",2018,"LM"
"1076","CPV",2019,"LM"
"1077","CPV",2020,"LM"
"1078","CPV",2021,"LM"
"1079","CPV",2022,"LM"
"1080","CPV",2023,"LM"
"1081","CRI",2000,"UM"
"1082","CRI",2001,"UM"
"1083","CRI",2002,"UM"
"1084","CRI",2003,"UM"
"1085","CRI",2004,"UM"
"1086","CRI",2005,"UM"
"1087","CRI",2006,"UM"
"1088","CRI",2007,"UM"
"1089","CRI",2008,"UM"
"1090","CRI",2009,"UM"
"1091","CRI",2010,"UM"
"1092","CRI",2011,"UM"
"1093","CRI",2012,"UM"
"1094","CRI",2013,"UM"
