country_name,country_code,year,sdg_overall,spi_comp,di_score,sci_overall,eiu_regime_type,eiu_regch_event,eiu_dem_ep,eiu_aut_ep,log_gdppc,income_level_recoded,p1_use,p2_services,p3_products,p4_sources,p5_infra,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,elect_dem,aut_ep,dem_ep,regime_type_4,regch_event,income_level,di_score_lag1,di_score_lag2,spi_comp_lag1,spi_comp_lag2,log_gdppc_lag1,log_gdppc_lag2,cen_spi_comp,cen_di_score,cen_log_gdppc,cen_spi_comp_lag1,cen_spi_comp_lag2,cen_di_score_lag1,cen_di_score_lag2,cen_spi_comp_lag1_sq,cen_spi_comp_lag1_cub,cen_spi_comp_lag2_sq,cen_spi_comp_lag2_cub,cen_di_score_lag1_sq,cen_di_score_lag1_cub,cen_di_score_lag2_sq,cen_di_score_lag2_cub,cen_log_gdppc_sq,cen_log_gdppc_cub,ert_autocracy,ert_democracy,ert_aut_ep,ert_dem_ep,ert_regch_event,ert_has_aut_ep,ert_has_dem_ep,ert_has_both,ert_has_neither,ert_total_aut_ep,ert_total_dem_ep,ert_democratized,ert_autocratized,ert_stable,eiu_regime_type_lag1,di_score_diff,di_score_pct_diff,di_score_diff_3yr,di_score_pct_diff_3yr,eiu_has_aut_ep,eiu_has_dem_ep,eiu_has_both,eiu_has_neither,eiu_total_aut_ep,eiu_total_dem_ep,eiu_democratized,eiu_autocratized,eiu_stable,eiu_dem_event_time,eiu_aut_event_time,annual_change,episode_id,episode_start_year,cumulative_change
Venezuela,VEN,2023,62.46403814910579,39.3925,2.31,NA,0,0,0,0,NA,NA,60,22.9,58.537499999999994,30.524999999999995,25,20.4085,52.3515,69.47584615384615,78.12225000000001,65.33500000000001,76.1306,79.4725,74.08600000000001,38.64128571428572,28.5715,62.127,82.05266666666667,86.5445,82.5815,78.3348,29.7042,57.949,0.211,0,0,1,0,NA,2.31,2.31,48.626666666666665,49.57,NA,NA,-6.874583333333334,-0.9122222222222223,NA,2.359583333333333,3.3029166666666683,-0.9922222222222223,-1.1122222222222224,5.567633506944444,13.137295229094326,10.909258506944456,36.032371743561974,0.9845049382716051,-0.9768476776406039,1.2370382716049388,-1.3758614554183821,NA,NA,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,0.08000000000000007,2,2023,0.08000000000000007
Vietnam,VNM,2016,70.71876499236058,55.708333333333336,3.38,82.22223333,0,0,0,0,7.913908812600956,1,100,45.56666666666666,56.625,51.35000000000001,25,92.654,67.77187500000001,69.7097857142857,97.45666666666666,71.04875000000001,70.47,72.83225,75.22985714285713,43.31257142857144,72.1075,76.95175,83.63814285714285,93.064,48.49833333333333,40.637,59.82327272727273,67.01325,0.15,0,0,0,0,LM,3.38,3.38,NA,NA,7.85460192862841,NA,-7.961614583333329,0.33777777777777773,-0.2031830824163796,NA,NA,0.48777777777777764,NA,NA,NA,NA,NA,0.23792716049382703,0.11605558161865559,NA,NA,0.04128336498022131,-0.008388081349201786,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Vietnam,VNM,2017,71.28614155207536,61.45166666666666,3.08,83.33333333,0,0,0,1,7.991629467100672,1,100,63.733333333333334,57.225,51.3,35,93.388,68.601375,70.3,97.619,72.437,70.613,75.61775,74.52342857142857,44.46785714285715,72.1075,77.41300000000001,83.49457142857143,92.84533333333331,47.56,40.437,62.0840909090909,68.3555,0.152,0,0,0,0,LM,3.08,3.08,55.708333333333336,NA,7.913908812600956,7.85460192862841,-2.218281250000004,0.03777777777777791,-0.12546242791666362,-7.961614583333329,NA,0.33777777777777773,0.48777777777777764,63.38730677354594,-504.6653060064869,NA,NA,0.1140938271604938,0.03853835939643346,0.23792716049382703,0.11605558161865559,0.015740820818744016,-0.001974881597320789,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,-0.2999999999999998,1,2017,-0.2999999999999998
Vietnam,VNM,2018,71.68877324293352,61.625,3.08,83.33333333,0,0,0,1,8.07785378226109,1,100,63.99999999999999,58.4,50.724999999999994,35,93.9785,69.634375,68.07692857142857,97.61033333333334,72.27475,70.7424,75.2505,76.18299999999999,51.99214285714285,70.388,78.15299999999999,82.40257142857142,92.01166666666666,47.5015,40.187,63.58372727272728,68.73875000000001,0.163,0,0,0,0,LM,3.08,3.08,61.45166666666666,55.708333333333336,7.991629467100672,7.913908812600956,-2.044947916666665,0.03777777777777791,-0.03923811275624445,-2.218281250000004,-7.961614583333329,0.03777777777777791,0.33777777777777773,4.92077170410158,-10.915655606739103,63.38730677354594,-504.6653060064869,0.0014271604938271706,5.391495198902663e-5,0.1140938271604938,0.03853835939643346,0.0015396294926717533,-6.0412155636293685e-5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,0,1,2017,-0.2999999999999998
Vietnam,VNM,2019,71.64862680162976,60.12541666666665,3.08,78.8889,0,0,0,1,8.143488417873701,1,100,63.99999999999999,55.06875000000001,46.55833333333334,35,94.954,70.31275,70.44692857142857,97.217,72.435,71.611,73.28524999999999,75.5787142857143,52.35085714285715,70.388,78.30475,82.22385714285714,90.24566666666668,47.2455,39.9972,63.38018181818182,68.05000000000001,0.212,0,0,0,0,LM,3.08,3.08,61.625,61.45166666666666,8.07785378226109,7.991629467100672,-3.544531250000013,0.03777777777777791,0.02639652285636629,-2.044947916666665,-2.218281250000004,0.03777777777777791,0.03777777777777791,4.181811981879333,-8.551587700235839,4.92077170410158,-10.915655606739103,0.0014271604938271706,5.391495198902663e-5,0.0014271604938271706,5.391495198902663e-5,6.967764189066679e-4,1.8392474667446912e-5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,0,1,2017,-0.2999999999999998
Vietnam,VNM,2020,71.78686180290299,62.99374999999999,2.94,74.44446667,0,0,0,1,8.170196839857248,1,100,67.96666666666667,60.868750000000006,51.13333333333333,35,95.827,71.6635,70.79185714285714,98.13666666666668,72.27075,72.1726,73.384,75.68014285714287,54.39128571428572,65.80799999999999,79.3235,81.83442857142857,90.053,47.41833333333333,39.7972,63.09163636363637,68.73275000000001,0.211,0,0,0,0,LM,2.94,2.94,60.12541666666665,61.625,8.143488417873701,8.07785378226109,-0.6761979166666734,-0.10222222222222221,0.05310494483991235,-3.544531250000013,-2.044947916666665,0.03777777777777791,0.03777777777777791,12.563701782226653,-44.53243358278323,4.181811981879333,-8.551587700235839,0.0014271604938271706,5.391495198902663e-5,0.0014271604938271706,5.391495198902663e-5,0.0028201351664501333,1.4976312245543137e-4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,-0.14000000000000012,1,2017,-0.43999999999999995
Vietnam,VNM,2021,72.21117186783805,67.77333333333333,2.94,NA,0,0,0,1,8.217220851150193,1,100,67.96666666666667,77.24999999999999,53.65,40,96.094,71.72687499999999,72.60971428571429,97.49666666666668,72.80825,72.76360000000001,74.31299999999999,75.80828571428572,55.66542857142856,65.80799999999999,79.78475,81.596,89.83999999999999,47.61433333333334,39.5972,64.07081818181818,69.993,0.17,0,0,0,0,LM,2.94,2.94,62.99374999999999,60.12541666666665,8.170196839857248,8.143488417873701,4.1033854166666615,-0.10222222222222221,0.100128956132858,-0.6761979166666734,-3.544531250000013,-0.10222222222222221,0.03777777777777791,0.45724362250434936,-0.3091871849465639,12.563701782226653,-44.53243358278323,0.010449382716049381,-0.0010681591220850477,0.0014271604938271706,5.391495198902663e-5,0.0100258078562558,0.0010038736750355001,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,0,1,2017,-0.43999999999999995
Vietnam,VNM,2022,73.2187708492488,67.38791666666668,2.73,NA,0,0,0,1,8.322730814865487,1,100,69.43333333333332,74.90625000000001,52.6,40,97.021000000000015,71.649625,73.85857142857144,96.393,74.884,73.20540000000001,74.7705,75.89128571428571,62.06285714285716,67.8075,80.09100000000001,83.764,90.03833333333334,47.612,41.8916,63.84718181818182,69.93125,0.154,0,0,0,0,LM,2.73,2.73,67.77333333333333,62.99374999999999,8.217220851150193,8.170196839857248,3.7179687500000185,-0.3122222222222222,0.20563891984815186,4.1033854166666615,-0.6761979166666734,-0.10222222222222221,-0.10222222222222221,16.83777187771263,69.09186757216604,0.45724362250434936,-0.3091871849465639,0.010449382716049381,-0.0010681591220850477,0.010449382716049381,-0.0010681591220850477,0.042287365356314624,0.008695928135096696,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,-0.20999999999999996,1,2017,-0.6499999999999999
Vietnam,VNM,2023,73.31994976445127,72.29416666666667,2.62,NA,0,0,0,1,8.362196140818266,1,100,69.43333333333332,89.4375,52.6,50,97.9315,71.649625,73.95492857142858,96.393,75.2085,73.14000000000001,74.7705,75.82257142857144,62.99457142857143,67.8075,80.09100000000001,83.37585714285714,90.03833333333334,48.1115,41.49160000000001,63.72690909090909,69.93125,0.149,0,0,0,0,LM,2.62,2.62,67.38791666666668,67.77333333333333,8.322730814865487,8.217220851150193,8.624218750000004,-0.42222222222222205,0.24510424580093115,3.7179687500000185,4.1033854166666615,-0.3122222222222222,-0.10222222222222221,13.8232916259767,51.394566287518316,16.83777187771263,69.09186757216604,0.09748271604938269,-0.030436270233196148,0.010449382716049381,-0.0010681591220850477,0.060076091309643274,0.01472490505111799,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,-0.10999999999999988,1,2017,-0.7599999999999998
Vanuatu,VUT,2016,NA,37.811666666666675,NA,50,NA,NA,0,0,7.962067201088156,1,46.6,40.766666666666666,51.6,30.091666666666665,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,0,0,2,0,LM,NA,NA,NA,NA,7.918116047091273,NA,-5.948333333333331,NA,-0.08268656961923515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006837068795396622,-5.653337649420629e-4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Vanuatu,VUT,2017,NA,40.17750000000001,NA,52.2222,NA,NA,0,0,8.05830425599884,1,46.6,59.43333333333334,51.68750000000001,28.166666666666668,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769,0,0,2,0,LM,NA,NA,37.811666666666675,NA,7.962067201088156,7.918116047091273,-3.582499999999996,NA,0.013550485291448311,-5.948333333333331,NA,NA,NA,35.38266944444441,-210.46791207870342,NA,NA,NA,NA,NA,NA,1.8361565163375703e-4,2.4880811867429213e-6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Vanuatu,VUT,2018,NA,39.16916666666667,NA,45.55553333,NA,NA,0,0,8.072994315673576,1,53.400000000000006,59.133333333333326,46.4125,21.9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763,0,0,2,0,LM,NA,NA,40.17750000000001,37.811666666666675,8.05830425599884,7.962067201088156,-4.590833333333336,NA,0.028240544966184444,-3.582499999999996,-5.948333333333331,NA,NA,12.83430624999997,-45.97890214062485,35.38266944444441,-210.46791207870342,NA,NA,NA,NA,7.975283799870856e-4,2.2522636076833524e-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Vanuatu,VUT,2019,NA,38.35166666666666,NA,48.88886667,NA,NA,0,0,8.073230418252503,1,50,59.133333333333326,45.725,21.9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753,0,0,2,0,LM,NA,NA,39.16916666666667,40.17750000000001,8.072994315673576,8.05830425599884,-5.408333333333346,NA,0.028476647545112144,-4.590833333333336,-3.582499999999996,NA,NA,21.07575069444447,-96.75525881307887,12.83430624999997,-45.97890214062485,NA,NA,NA,NA,8.109194554085415e-4,2.3092267519143318e-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Vanuatu,VUT,2020,NA,41.95791666666667,NA,36.66666667,NA,NA,0,0,8.020594915908383,1,56.60000000000001,59.133333333333326,57.15625,21.9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.741,0,0,2,0,LM,NA,NA,38.35166666666666,39.16916666666667,8.073230418252503,8.072994315673576,-1.8020833333333357,NA,-0.024158854799008367,-5.408333333333346,-4.590833333333336,NA,NA,29.250069444444577,-158.19412557870479,21.07575069444447,-96.75525881307887,NA,NA,NA,NA,5.836502651995696e-4,-1.4100322010359128e-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Vanuatu,VUT,2021,NA,50.63833333333333,NA,NA,NA,NA,0,0,8.041478285112461,1,56.60000000000001,59.133333333333326,72.22500000000001,30.23333333333334,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769,0,0,2,0,LM,NA,NA,41.95791666666667,38.35166666666666,8.020594915908383,8.073230418252503,6.878333333333323,NA,-0.003275485594929961,-1.8020833333333357,-5.408333333333346,NA,NA,3.247504340277786,-5.852273446542268,29.250069444444577,-158.19412557870479,NA,NA,NA,NA,1.072880588259368e-5,-3.514204911923543e-8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Vanuatu,VUT,2022,NA,50.87125,NA,NA,NA,NA,0,0,8.09113645884147,1,56.60000000000001,59.06666666666667,68.90624999999999,34.78333333333334,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773,0,0,2,0,LM,NA,NA,50.63833333333333,41.95791666666667,8.041478285112461,8.020594915908383,7.111249999999998,NA,0.046382688134078975,6.878333333333323,-1.8020833333333357,NA,NA,47.311469444444306,325.42405732870225,3.247504340277786,-5.852273446542268,NA,NA,NA,NA,0.0021513537585432308,9.97855704485893e-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Vanuatu,VUT,2023,NA,51.102500000000006,NA,NA,NA,NA,0,0,8.164862038399862,1,56.60000000000001,59.06666666666667,70.0625,34.78333333333334,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.796,0,0,2,0,LM,NA,NA,50.87125,50.63833333333333,8.09113645884147,8.041478285112461,7.342500000000001,NA,0.12010826769247096,7.111249999999998,6.878333333333323,NA,NA,50.56987656249998,359.61503470507785,47.311469444444306,325.42405732870225,NA,NA,NA,NA,0.014425995968086263,0.0017326813854654118,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Samoa,WSM,2016,NA,52.83583333333334,NA,54.44446667,NA,NA,0,0,8.330157575363963,2,90,44.39999999999999,56.93750000000001,27.841666666666665,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UM,NA,NA,NA,NA,8.314920529446209,NA,-6.6861458333333275,NA,-4.8089386266347844e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3125890714740046e-7,-1.1121098913344811e-10,0,0,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
