"country_name.x","country_code","year","sdg_overall","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal14","goal15","goal16","goal17","country_name.y","spi_comp","p1_use","p2_services","p3_products","p4_sources","p5_infra","country_name.x.x","sci_overall","sci_method","sci_periodicity","sci_source","country_name.y.y","regime_type","regime_type_amb","elect_dem","lib_dem","part_dem","delib_dem","egal_dem","freefair","accountability","vt_account","hz_account","diag_account","academ_free","freexp_altinfo","gdp","gdp_pc","population","stat_yb_cov","stat_yb_pub","census","stat_agency"
"Iraq","IRQ",2019,62.0675761904762,96.549,49.6021428571429,64.8180714285714,65.3586666666667,32.6755,43.468,65.607,61.7685,34.5834285714286,91.4955,46.67125,81.4942857142857,67.4192,39.16075,64.619,66.049,"Iraq",39.635,50,25,61.95,26.225,35,"Iraq",34.44446667,20,63.3334,20,"Iraq",1,3,0.395,0.229,0.254,0.289,0.197,0.357,0.533,0.547,0.436,0.599,0.419,0.63,41067.232,9.786,39309789,NA,NA,NA,NA
"Iceland","ISL",2019,78.2021831932773,99.8485,58.86275,97.0563571428571,97.1246666666667,87.19,72.1268,99.22025,67.3426,87.4402857142857,100,97.63725,45.4484285714286,61.9,31.29275,94.2731428571429,70.195,"Iceland",78.3533333333333,80,87.8,59.7,64.2666666666667,100,NA,NA,NA,NA,NA,"Iceland",3,9,0.856,0.779,0.635,0.785,0.776,0.946,1.537,1.392,1.155,1.59,0.935,0.931,2020.323,54.549,360563,NA,NA,NA,NA
"Israel","ISR",2019,73.2296860644257,98.504,62.694125,96.142,93.3866666666667,73.82425,67.2426,72.272,81.8973333333333,94.788,71.5535,95.02875,65.3108571428571,37.5112,41.9144,70.2427142857143,48.4456,"Israel",81.4725,100,85.7333333333333,58.4625,68.1666666666667,95,NA,NA,NA,NA,NA,"Israel",3,9,0.713,0.627,0.462,0.574,0.574,0.84,1.206,1.161,1.604,0.896,0.947,0.839,35955.811,39.043,9054000,NA,NA,NA,NA
"Italy","ITA",2019,78.8491094728801,98.369,69.6215,94.444,97.449,72.0635,79.6958,76.3835,75.6645714285714,85.7167142857143,79.375,93.6753333333333,63.7168571428571,63.0736666666667,78.2584,71.9628181818182,60.7082,"Italy",88.5291666666667,100,91.8666666666666,75.2875,75.4916666666667,100,NA,NA,NA,NA,NA,"Italy",3,8,0.857,0.781,0.674,0.792,0.785,0.94,1.712,1.492,1.61,1.701,0.949,0.93,218478.765,33.775,59729081,NA,NA,NA,NA
"Jamaica","JAM",2019,69.9745044499618,91.171,55.780625,79.1767857142857,78.7813333333333,71.064,69.5562,65.0965,75.0062857142857,48.9907142857143,56.898,73.079,85.8834285714286,61.8738,52.0602,60.4136363636364,73.5244,"Jamaica",54.3129166666667,60,73.7333333333333,52.88125,54.95,30,"Jamaica",61.11113333,40,83.3334,60,"Jamaica",3,8,0.812,0.706,0.549,0.688,0.648,0.866,1.519,1.391,0.979,1.601,0.941,0.943,2330.973,7.559,2948277,NA,NA,NA,NA
"Jordan","JOR",2019,68.4446106951872,98.313,53.1454285714286,77.7850714285714,61.5695,39.032,55.1652,72.0525,58.1102857142857,57.3615714285714,77.049,58.0995,89.0761428571429,90.30375,51.70025,70.8161818181818,62.618,"Jordan",59.51375,80,47.5,71.29375,68.775,30,"Jordan",82.22226667,90,86.6668,70,"Jordan",0,0,0.26,0.239,0.122,0.22,0.231,0.492,0.463,0.542,0.675,0.359,0.373,0.575,7641.738,7.289,10101697,NA,NA,NA,NA
"Japan","JPN",2019,79.0916996136217,99.2475,73.913875,93.7752307692308,98.692,57.258,83.4722,72.68475,86.2275714285714,94.6127142857143,80.5195,87.6533333333334,59.8481428571429,56.0021666666667,64.74,89.2209090909091,72.363,"Japan",87.4725,100,90.5333333333333,73.5125,78.3166666666667,95,NA,NA,NA,NA,NA,"Japan",3,9,0.831,0.755,0.539,0.735,0.752,0.939,1.547,1.452,1.626,1.362,0.663,0.866,524374.91,39.061,126633000,NA,NA,NA,NA
"Kazakhstan","KAZ",2019,71.3270918498169,98.62,53.7927142857143,80.0673076923077,96.36975,73.821,72.1966,62.503,66.1804285714286,46.7235714285714,95.921,79.35275,74.4157142857143,NA,62.5162,62.7011,59.141,"Kazakhstan",78.2291666666667,100,82.1333333333333,78.3125,60.7,70,"Kazakhstan",86.66666667,90,100,70,"Kazakhstan",1,3,0.239,0.114,0.077,0.129,0.19,0.301,-0.307,0.126,-0.666,-0.301,0.323,0.307,46904.567,23.827,18513673,NA,NA,NA,NA
"Kenya","KEN",2019,60.350643977591,45.821,52.40875,50.8788571428572,72.302,67.3975,46.8364,39.3435,77.3364285714286,33.7628571428571,49.549,58.48925,94.6915714285714,69.895,58.2204,54.0895,56.7376,"Kenya",55.8645833333333,70,60.4666666666667,61.43125,42.425,45,"Kenya",57.7778,50,73.3334,50,"Kenya",1,4,0.495,0.395,0.337,0.431,0.315,0.378,0.884,0.584,1.198,0.971,0.802,0.835,18715.879,3.384,52573967,NA,NA,NA,NA
"Kyrgyz Republic","KGZ",2019,74.0319519345238,91.1645,62.858,75.0973571428571,91.4845,60.82925,67.0536,78.905,66.8854285714286,38.9822857142857,89.6515,80.2505,90.6951428571429,NA,66.0886,61.3921,67.6018,"Kyrgyz Republic",80.1358333333333,100,81.4666666666667,73.6375,60.575,85,"Kyrgyz Republic",96.66666667,90,100,100,"Kyrgyzstan",1,3,0.445,0.321,0.259,0.277,0.308,0.426,0.53,0.418,0.86,0.578,0.594,0.69,3321.461,5,6456200,NA,NA,NA,NA
"Cambodia","KHM",2019,62.9784746681097,NA,65.015375,62.0880714285714,63.06375,49.44475,63.747,54.9565,67.885,38.5285714285714,NA,70.217,92.2177142857143,59.7576666666667,49.4696,53.7534545454546,58.539,"Cambodia",53.8658333333333,70,59.2,60.4375,34.6916666666667,45,"Cambodia",60,30,80,70,"Cambodia",1,3,0.196,0.065,0.131,0.061,0.09,0.13,-0.665,-0.163,-1.369,-0.555,0.318,0.189,7378.133,4.234,16486542,NA,NA,NA,NA
"Korea, Rep.","KOR",2019,76.4953902607197,99.426,80.85575,92.6456153846154,96.713,63.80625,71.7284,70.27,81.111,98.9288571428571,81.382,83.643,67.4144285714286,55.5891666666667,50.9598,80.5187,61.619,"Korea, Rep.",84.6170833333333,100,93.4,75.61875,74.0666666666667,80,NA,NA,NA,NA,NA,"South Korea",3,9,0.847,0.783,0.58,0.764,0.743,0.961,1.64,1.549,1.76,1.343,0.843,0.956,224102.992,40.987,51764822,NA,NA,NA,NA
"Kuwait","KWT",2019,59.9438166544567,NA,69.56475,86.6292307692308,80.368,50.6925,46.6118,68.85175,68.2098571428571,60.5928571428571,NA,56.6726666666667,47.0045714285714,48.7394,54.7853333333333,74.4153333333333,61.5042,"Kuwait",58.0495833333333,80,66.3333333333333,51.65625,57.2583333333333,35,NA,NA,NA,NA,NA,"Kuwait",0,1,0.329,0.296,0.102,0.298,0.254,0.772,0.544,0.802,0.996,0.309,0.491,0.638,19960.897,45.01,4207077,NA,NA,NA,NA
"Lao PDR","LAO",2019,62.114223735119,64.499,61.292125,54.4278571428571,71.30475,61.348,69.76,57.791,72.7623333333333,32.5442857142857,57.428,68.8426666666667,87.8074285714286,NA,42.4406,43.8142,59.66,"Lao PDR",53.4520833333333,90,56.6333333333333,53.39375,37.2333333333333,30,"Lao PDR",67.7778,50,93.3334,60,"Laos",0,0,0.128,0.101,0.102,0.066,0.121,0.163,-0.943,-0.424,0.25,-1.283,0.058,0.023,4745.302,6.231,7169456,NA,NA,NA,NA
"Lebanon","LBN",2019,64.756242102995,98.9295,53.4267142857143,75.1221538461539,72.573,39.3915,64.097,59.9363333333333,54.5975714285714,65.8101666666667,84.4435,59.7683333333333,77.2221428571429,63.7556,52.5948,52.5234,41.2114,"Lebanon",51.2004166666667,60,62.6,57.39375,46.0083333333333,30,"Lebanon",44.44443333,40,53.3333,40,"Lebanon",1,3,0.435,0.275,0.237,0.307,0.239,0.337,0.529,0.524,0.182,0.743,0.673,0.726,7616.031,10.275,6855709,NA,NA,NA,NA
"Liberia","LBR",2019,50.6026810287752,25.912,43.539,36.8182857142857,48.56675,36.0305,53.5984,14.164,67.0228571428571,15.5704285714286,72.1075,40.3413333333333,96.3102,83.6671666666667,45.0068,43.7232727272727,38.55175,"Liberia",51.9316666666667,100,28.8333333333333,56.825,29,45,"Liberia",54.44443333,40,83.3333,40,"Liberia",2,6,0.623,0.412,0.338,0.492,0.398,0.605,0.99,0.908,0.368,1.217,0.818,0.837,609.192,1.188,4937374,NA,NA,NA,NA
"Sri Lanka","LKA",2019,67.2337756302521,90.1135,65.6785,79.0130714285714,76.0415,50.566,54.5884,62.905,73.0342857142857,39.508,61.728,71.1136666666667,82.7864285714286,73.398,55.6666,56.2341,55.1088,"Sri Lanka",75.0479166666667,100,81.0333333333333,70.45625,78.75,45,"Sri Lanka",81.11113333,70,93.3334,80,"Sri Lanka",2,5,0.565,0.434,0.343,0.382,0.396,0.644,0.957,1.208,0.53,0.701,0.715,0.699,28869.858,12.575,21803000,NA,NA,NA,NA
"Lesotho","LSO",2019,55.5017043154762,31.145,44.8465,24.1255,47.65275,73.6775,49.42075,25.84975,50.4845,26.9434285714286,27.462,77.1816666666667,98.62,NA,78.9756666666667,54.7818571428572,79.5604,"Lesotho",54.8854166666667,80,63.2666666666667,53.19375,37.9666666666667,40,"Lesotho",67.7778,40,83.3334,80,"Lesotho",2,6,0.627,0.489,0.39,0.494,0.485,0.679,1.025,0.966,0.946,0.981,0.614,0.775,675.445,3.069,2125267,NA,NA,NA,NA
"Lithuania","LTU",2019,76.7216045454546,98.653,59.8375,85.5357857142857,98.41175,70.205,80.032,69.81175,73.1345714285714,70.8848571428571,70.889,94.99125,49.1112857142857,81.9968,88.0976,85.3967272727273,50.5984,"Lithuania",84.94375,100,91.8333333333333,60.96875,71.9166666666667,100,NA,NA,NA,NA,NA,"Lithuania",2,7,0.82,0.755,0.63,0.673,0.705,0.926,1.51,1.383,1.735,1.285,0.94,0.937,9529.66,31.785,2794137,NA,NA,NA,NA
"Luxembourg","LUX",2019,75.6510211512446,99.461,63.600375,96.6730714285714,97.8863333333333,76.692,81.1508,56.4905,78.1296666666667,88.7638571428571,84.001,98.44925,25.979,NA,62.934,90.4438181818182,69.62,"Luxembourg",78.67125,80,90.4333333333333,61.28125,61.6416666666667,100,NA,NA,NA,NA,NA,"Luxembourg",3,9,0.88,0.798,0.641,0.835,0.829,0.954,1.729,1.521,1.436,1.735,0.944,0.961,6025.423,92.389,620001,NA,NA,NA,NA
"Latvia","LVA",2019,80.400270091673,98.6595,64.9425,84.8801428571428,97.48625,77.34625,92.7732,87.61125,82.1841428571429,72.968,75.141,94.789,61.0894285714286,84.2106666666667,91.1142,79.9737272727273,43.943,"Latvia",83.3891666666667,100,89.1666666666667,61.3875,66.3916666666667,100,NA,NA,NA,NA,NA,"Latvia",3,8,0.834,0.749,0.604,0.698,0.722,0.892,1.54,1.342,1.239,1.592,0.967,0.951,5683.001,27.573,1913822,NA,NA,NA,NA
"Morocco","MAR",2019,69.9363574929972,91.177,64.344375,73.3179285714286,70.369,41.2485,61.5258,69.405,67.6882857142857,52.4544285714286,53.9425,82.69175,90.1671428571428,71.3813333333333,75.7452,65.4911,63.4174,"Morocco",66.3529166666667,80,88.4,68.15625,45.2083333333333,50,"Morocco",66.66666667,60,80,60,"Morocco",0,0,0.259,0.24,0.164,0.249,0.185,0.456,0.385,0.462,0.724,0.237,0.602,0.557,30708.605,7.988,36471766,NA,NA,NA,NA
"Moldova","MDA",2019,78.2019605654762,98.5995,63.6695714285714,77.1683571428571,98.04575,71.64325,71.8476,79.33125,65.0707142857143,38.4987142857143,99.594,91.6016666666667,76.4494285714286,NA,88.5562,64.2353,75.0914,"Moldova",80.3225,100,94.2333333333333,53.5625,63.8166666666667,90,"Moldova",91.1111,100,93.3333,80,"Moldova",2,6,0.584,0.443,0.384,0.397,0.423,0.619,0.862,0.847,0.615,0.875,0.784,0.737,2943.867,8.273,2664974,NA,NA,NA,NA
"Madagascar","MDG",2019,50.7479592436975,3.298,51.86075,35.9873571428571,51.811,65.89975,44.2348,36.08425,67.7088571428572,10.2827142857143,40.17,55.791,96.7984285714286,65.9561666666667,44.31,42.4069,50.775,"Madagascar",50.81375,80,56.3,62.59375,25.175,30,"Madagascar",55.5556,40,76.6668,50,"Madagascar",1,4,0.495,0.258,0.298,0.311,0.219,0.408,0.655,0.622,-0.035,0.992,0.758,0.739,3686.51,1.307,26969306,NA,NA,NA,NA
"Maldives","MDV",2019,70.2328089635854,99.0005,41.392,88.1387857142857,92.33875,36.9415,73.41775,64.6435,76.053,46.4371666666667,92.6525,86.798,74.525,58.002,32.25,75.4068,65.763,"Maldives",53.6925,70,29.8666666666667,65.4875,53.1083333333333,50,"Maldives",64.44443333,70,63.3333,60,"Maldives",2,6,0.573,0.412,0.331,0.443,0.404,0.62,0.827,0.855,0.796,0.683,0.469,0.778,822.228,14.726,530957,NA,NA,NA,NA
"Mexico","MEX",2019,68.5209713840082,87.2925,59.316125,77.9175,96.4805,78.29125,69.2142,68.48375,66.5685714285714,54.5971428571429,37.3325,72.67175,80.3136666666667,62.4621666666667,56.0408,46.7330909090909,62.428,"Mexico",86.1704166666667,100,92.9333333333333,89.31875,73.6,75,"Mexico",93.33333333,100,100,80,"Mexico",2,6,0.675,0.434,0.412,0.421,0.394,0.799,1.061,1.235,0.034,1.082,0.885,0.792,224999.494,16.814,127575529,NA,NA,NA,NA
"North Macedonia","MKD",2019,73.2301199675325,95.3465,60.3021428571429,79.8187142857143,71.26,54.65725,71.079,70.31275,64.1262857142857,51.6682857142857,80.143,88.8125,78.387,NA,78.2234,70.4180909090909,69.103,"North Macedonia",72.69875,100,88.0666666666667,51.14375,59.2833333333333,65,"North Macedonia",82.22223333,80,86.6667,80,"North Macedonia",2,6,0.603,0.416,0.412,0.45,0.416,0.664,0.898,0.93,0.486,0.91,0.85,0.73,3067.094,13.738,2076694,NA,NA,NA,NA
"Mali","MLI",2019,54.9806693700397,42.079,59.712375,40.4117857142857,9.57425,25.85,60.6868,29.84625,72.455,21.2668571428571,69.184,66.1085,95.3807142857143,NA,84.519,53.8537777777778,49.8154,"Mali",52.10125,66.6,63.1,64.23125,36.575,30,"Mali",67.7778,30,93.3334,80,"Mali",1,4,0.511,0.32,0.309,0.419,0.32,0.377,0.737,0.59,-0.29,1.221,0.848,0.853,5072.011,2.444,19658023,NA,NA,NA,NA
"Malta","MLT",2019,75.464381512605,99.7675,66.97025,93.4147142857143,95.8285,61.9475,57.6986,73.62825,83.6985,71.4141428571429,86.633,97.4615,56.3674285714286,70.9776666666667,81.454,68.933,55.0986,"Malta",75.5383333333333,100,84,45.5,73.1916666666666,75,NA,NA,NA,NA,NA,"Malta",2,6,0.767,0.58,0.566,0.623,0.651,0.892,1.147,1.253,0.254,1.203,0.89,0.821,2036.381,40.381,504062,NA,NA,NA,NA
"Myanmar","MMR",2019,62.0915908390629,80.8525,63.775625,53.4087857142857,64.47825,54.93925,66.054,44.016,59.132,34.9775714285714,87.243,54.93125,92.38,47.685,50.743,59.2865454545455,44.1496,"Myanmar",63.4329166666667,100,67.0666666666667,73.80625,41.2916666666667,35,"Myanmar",74.44446667,70,83.3334,70,"Burma/Myanmar",1,3,0.425,0.26,0.266,0.334,0.245,0.503,0.563,0.661,0.436,0.594,0.4,0.701,32603.621,5.693,54045422,NA,NA,NA,NA
